Année,Région Code,Région,HPV filles 1 dose à 15 ans,HPV filles 2 doses à 16 ans,HPV garçons 1 dose à 15 ans,HPV garçons 2 doses à 16 ans,Méningocoque C 10-14 ans,Méningocoque C 15-19 ans,Méningocoque C 20-24 ans,Grippe moins de 65 ans à risque,Grippe 65 ans et plus,Grippe 65-74 ans,Grippe 75 ans et plus,Covid-19 65 ans et plus,Grippe résidents en Ehpad,Grippe professionnels en Ehpad,Covid-19 résidents en Ehpad,Covid-19 professionnels en Ehpad
2011,24,Centre-Val de Loire,32.0,28.6,,,,,,,,,,,,,,
2011,44,Grand Est,35.6,30.0,,,,,,,,,,,,,,
2011,32,Hauts-de-France,38.7,35.2,,,,,,,,,,,,,,
2011,11,Île-de-France,24.5,21.4,,,,,,,,,,,,,,
2011,28,Normandie,38.7,34.4,,,,,,,,,,,,,,
2011,52,Pays de la Loire,31.1,29.1,,,,,,,,,,,,,,
2011,3,Guyane,,,,,,,,,,,,,,,,
2011,4,Réunion,,,,,,,,,,,,,,,,
2012,84,Auvergne et Rhône-Alpes,18.6,20.9,,,,,,,,,,,,,,
2012,24,Centre-Val de Loire,24.5,24.7,,,,,,,,,,,,,,
2012,75,Nouvelle Aquitaine,22.8,26.1,,,,,,,,,,,,,,
2012,93,Provence-Alpes-Côte d'Azur,18.5,19.8,,,,,,,,,,,,,,
2012,2,Martinique,,,,,,,,,,,,,,,,
2013,84,Auvergne et Rhône-Alpes,17.7,16.1,,,,,,,,,,,,,,
2013,24,Centre-Val de Loire,22.7,19.8,,,,,,,,,,,,,,
2013,94,Corse,17.3,13.2,,,,,,,,,,,,,,
2013,44,Grand Est,26.5,21.7,,,,,,,,,,,,,,
2013,32,Hauts-de-France,27.7,23.7,,,,,,,,,,,,,,
2013,93,Provence-Alpes-Côte d'Azur,17.2,14.0,,,,,,,,,,,,,,
2014,44,Grand Est,25.4,20.9,,,29.5,21.2,,,,,,,,,,
2014,2,Martinique,,,,,,,,,,,,,,,,
2015,24,Centre-Val de Loire,22.7,14.8,,,34.7,26.4,,,,,,,,,,
2015,32,Hauts-de-France,27.8,18.5,,,42.6,34.9,,,,,,,,,,
2015,28,Normandie,27.7,18.7,,,35.7,28.6,,,,,,,,,,
2015,52,Pays de la Loire,23.2,15.6,,,32.0,24.0,,,,,,,,,,
2016,27,Bourgogne et Franche-Comté,25.6,20.9,,,36.6,28.5,,30.9,50.4,,,,,,,
2016,94,Corse,14.9,12.6,,,19.9,10.5,,16.4,33.6,,,,,,,
