Année,Région,Grippe moins de 65 ans à risque,Grippe 65 ans et plus,Grippe 65-74 ans,Grippe 75 ans et plus,Grippe résidents en Ehpad,Grippe professionnels en Ehpad
2011,Centre-Val de Loire,,,,,,
2011,Grand Est,,,,,,
2011,Hauts-de-France,,,,,,
2011,Île-de-France,,,,,,
2011,Normandie,,,,,,
2011,Pays de la Loire,,,,,,
2011,Guyane,,,,,,
2011,Réunion,,,,,,
2012,Auvergne et Rhône-Alpes,,,,,,
2012,Centre-Val de Loire,,,,,,
2012,Nouvelle Aquitaine,,,,,,
2012,Provence-Alpes-Côte d'Azur,,,,,,
2012,Martinique,,,,,,
2013,Auvergne et Rhône-Alpes,,,,,,
2013,Centre-Val de Loire,,,,,,
2013,Corse,,,,,,
2013,Grand Est,,,,,,
2013,Hauts-de-France,,,,,,
2013,Provence-Alpes-Côte d'Azur,,,,,,
2014,Grand Est,,,,,,
2014,Martinique,,,,,,
2015,Centre-Val de Loire,,,,,,
2015,Hauts-de-France,,,,,,
2015,Normandie,,,,,,
2015,Pays de la Loire,,,,,,
2016,Bourgogne et Franche-Comté,30.9,50.4,,,,
2016,Corse,16.4,33.6,,,,
2016,Pays de la Loire,31.0,51.2,,,,
2017,Corse,15.9,33.6,,,,
2017,Grand Est,32.0,51.9,,,,
2017,Hauts-de-France,34.1,52.2,,,,
2017,Normandie,33.4,53.1,,,,
2017,Occitanie,26.9,49.2,,,,
2017,Pays de la Loire,31.7,51.3,,,,
2017,Martinique,13.4,20.5,,,,
2017,Réunion,,,,,,
2018,Bretagne,31.3,54.3,,,,
2018,Grand Est,32.4,52.9,,,,
2018,Nouvelle Aquitaine,30.6,52.3,,,,
2018,Réunion,,,,,,
2019,Bourgogne et Franche-Comté,33.4,52.4,,,,
2019,Corse,24.2,46.9,,,,
2019,Grand Est,33.7,53.5,,,,
2019,Hauts-de-France,35.1,53.2,,,,
2019,Provence-Alpes-Côte d'Azur,27.7,49.7,,,,
2019,Guyane,14.0,21.3,,,,
2019,Réunion,,,,,,
2020,Bretagne,41.1,65.5,,,,
2020,Centre-Val de Loire,41.5,62.8,,,,
2020,Grand Est,40.4,60.2,,,,
