annee,mois,Région,Classe d'âge,Taux de passages aux urgences pour grippe,Taux d'hospitalisations après passages aux urgences pour grippe,Taux d'actes médicaux SOS médecins pour grippe
2019,12,Auvergne et Rhône-Alpes,00-04 ans,784.19982573,621.11801242,564.33408578
2019,12,Auvergne et Rhône-Alpes,05-14 ans,650.14221861,0.0,2995.0083195
2019,12,Auvergne et Rhône-Alpes,15-64 ans,519.70265114,51.867219917,4415.4401555
2019,12,Auvergne et Rhône-Alpes,65 ans ou plus,340.19391053,471.51277014,1000.8340284
2019,12,Auvergne et Rhône-Alpes,Tous âges,526.21826941,308.34457506,3097.6965846
2019,12,Bourgogne et Franche-Comté,00-04 ans,926.70598147,1369.8630137,2727.2727273
2019,12,Bourgogne et Franche-Comté,05-14 ans,495.66294919,0.0,5220.8835341
2019,12,Bourgogne et Franche-Comté,15-64 ans,706.5311046,0.0,6311.3604488
2019,12,Bourgogne et Franche-Comté,65 ans ou plus,100.73875084,76.62835249,2564.1025641
2019,12,Bourgogne et Franche-Comté,Tous âges,547.51299183,126.26262626,5079.1007494
2019,12,Bretagne,00-04 ans,799.28952043,0.0,1631.7016317
2019,12,Bretagne,05-14 ans,383.14176245,0.0,3715.1702786
2019,12,Bretagne,15-64 ans,297.95158287,0.0,4602.2727273
2019,12,Bretagne,65 ans ou plus,226.84310019,335.85222502,333.88981636
2019,12,Bretagne,Tous âges,342.60378879,179.53321364,3276.5820752
2019,12,Centre-Val de Loire,00-04 ans,309.27835052,900.9009009,857.14285714
2019,12,Centre-Val de Loire,05-14 ans,445.76523031,0.0,3308.8235294
2019,12,Centre-Val de Loire,15-64 ans,1018.7910346,416.66666667,3720.0504414
2019,12,Centre-Val de Loire,65 ans ou plus,142.11274278,437.31778426,1201.2012012
2019,12,Centre-Val de Loire,Tous âges,660.87382205,453.17220544,2948.1132075
2019,12,Corse,00-04 ans,763.35877863,0.0,5882.3529412
2019,12,Corse,05-14 ans,0.0,0.0,16666.666667
2019,12,Corse,15-64 ans,550.96418733,0.0,10810.810811
2019,12,Corse,65 ans ou plus,537.6344086,555.55555556,3333.3333333
2019,12,Corse,Tous âges,528.30188679,326.79738562,10582.010582
2019,12,Grand Est,00-04 ans,403.71417037,563.38028169,2444.7031432
2019,12,Grand Est,05-14 ans,375.46933667,0.0,4081.6326531
2019,12,Grand Est,15-64 ans,591.59314997,264.37541309,5379.5379538
2019,12,Grand Est,65 ans ou plus,196.16390584,268.45637584,2056.5552699
2019,12,Grand Est,Tous âges,448.11191868,280.70175439,4250.4743833
2019,12,Guadeloupe,00-04 ans,515.46391753,0.0,
2019,12,Guadeloupe,05-14 ans,0.0,0.0,
2019,12,Guadeloupe,15-64 ans,287.76978417,0.0,
2019,12,Guadeloupe,65 ans ou plus,0.0,0.0,
2019,12,Guadeloupe,Tous âges,237.90642347,0.0,
2019,12,Guyane,00-04 ans,840.33613445,0.0,
2019,12,Guyane,05-14 ans,847.45762712,0.0,
2019,12,Guyane,15-64 ans,887.19898606,0.0,
2019,12,Guyane,65 ans ou plus,1010.1010101,0.0,
2019,12,Guyane,Tous âges,884.24437299,0.0,
2019,12,Hauts-de-France,00-04 ans,1032.5047801,668.89632107,865.17664023
2019,12,Hauts-de-France,05-14 ans,1516.9902913,0.0,2356.557377
2019,12,Hauts-de-France,15-64 ans,638.40399002,325.73289902,4933.2428151
2019,12,Hauts-de-France,65 ans ou plus,333.76123235,402.41448692,1641.7910448
2019,12,Hauts-de-France,Tous âges,709.4538855,384.24591739,3528.9399813
2019,12,Martinique,00-04 ans,,,0.0
2019,12,Martinique,05-14 ans,,,1612.9032258
2019,12,Martinique,15-64 ans,,,3114.1868512
2019,12,Martinique,65 ans ou plus,,,675.67567568
2019,12,Martinique,Tous âges,,,1971.3261649
2019,12,Mayotte,00-04 ans,3448.2758621,0.0,
2019,12,Mayotte,05-14 ans,0.0,0.0,
2019,12,Mayotte,15-64 ans,1433.6917563,0.0,
2019,12,Mayotte,65 ans ou plus,0.0,0.0,
2019,12,Mayotte,Tous âges,1724.137931,0.0,
